date,kr_base_rate,kr_cpi,kr_mortgage_rate,kr_m2,kr_gdp
2005-01,3.25,73.594,5.45,902992.8,0.9
2005-02,3.25,73.892,5.53,910391.0,
2005-03,3.25,74.338,5.48,922942.5,
2005-04,3.25,74.413,5.32,930989.1,1.9
2005-05,3.25,74.338,5.15,933697.1,
2005-06,3.25,74.114,5.13,939150.7,
2005-07,3.25,74.413,5.18,948372.8,1.4
2005-08,3.25,74.636,5.26,960979.0,
2005-09,3.25,75.008,5.36,957486.9,
2005-10,3.5,74.859,5.61,957390.9,1.1
2005-11,3.5,74.561,5.59,955328.2,
2005-12,3.75,74.785,5.6,960235.2,
2006-01,3.75,75.231,5.64,957326.7,1.6
2006-02,4.0,75.381,5.58,961576.6,
2006-03,4.0,75.827,5.46,965391.3,
2006-04,4.0,75.902,5.42,971394.3,0.7
2006-05,4.0,76.05,5.41,977381.9,
2006-06,4.25,75.902,5.48,987668.5,
2006-07,4.25,76.199,5.79,991033.5,1.6
2006-08,4.5,76.645,5.86,998024.7,
2006-09,4.5,76.868,5.77,1011962.9,
2006-10,4.5,76.496,5.69,1023316.4,0.8
2006-11,4.5,76.125,5.69,1030437.4,
2006-12,4.5,76.348,5.88,1041540.1,
2007-01,4.5,76.496,6.11,1049517.4,1.8
2007-02,4.5,77.017,6.18,1057158.9,
2007-03,4.5,77.464,6.2,1059549.0,
2007-04,4.5,77.761,6.13,1063156.2,1.7
2007-05,4.5,77.836,6.17,1064962.8,
2007-06,4.5,77.836,6.13,1075534.2,
2007-07,4.75,78.134,6.24,1077650.1,1.2
2007-08,5.0,78.208,6.38,1082976.6,
2007-09,5.0,78.655,6.52,1087170.4,
2007-10,5.0,78.803,6.55,1088167.2,2.0
2007-11,5.0,78.803,6.59,1089973.1,
2007-12,5.0,79.101,6.85,1097590.8,
2008-01,5.0,79.472,7.08,1105916.8,0.8
2008-02,5.0,79.771,6.72,1117083.7,
2008-03,5.0,80.515,6.7,1128670.7,
2008-04,5.0,80.962,6.8,1143956.6,0.4
2008-05,5.0,81.63,6.79,1159581.9,
2008-06,5.0,82.151,6.77,1175866.9,
2008-07,5.0,82.747,6.92,1190474.9,0.7
2008-08,5.25,82.598,7.16,1198210.2,
2008-09,5.25,82.673,7.25,1208134.1,
2008-10,4.25,82.598,7.58,1237588.2,-3.4
2008-11,4.0,82.375,7.42,1263562.7,
2008-12,3.0,82.375,6.81,1286922.8,
2009-01,2.5,82.45,5.63,1292462.7,0.3
2009-02,2.0,83.045,5.38,1303385.4,
2009-03,2.0,83.64,5.43,1315293.5,
2009-04,2.0,83.862,5.3,1329910.7,1.4
2009-05,2.0,83.862,5.25,1336604.2,
2009-06,2.0,83.788,5.25,1339126.0,
2009-07,2.0,84.086,5.29,1350651.5,3.1
2009-08,2.0,84.384,5.45,1380776.9,
2009-09,2.0,84.459,5.77,1384414.2,
2009-10,2.0,84.235,5.9,1394094.4,0.7
2009-11,2.0,84.384,5.87,1400475.5,
2009-12,2.0,84.682,5.9,1399323.9,
2010-01,2.0,85.351,5.88,1406577.5,2.3
2010-02,2.0,85.523,5.75,1425069.1,
2010-03,2.0,85.696,5.47,1435032.5,
2010-04,2.0,86.041,5.07,1448987.9,1.6
2010-05,2.0,86.128,4.78,1456909.3,
2010-06,2.0,86.041,4.62,1466581.2,
2010-07,2.25,86.214,4.7,1482417.4,1.0
2010-08,2.25,86.647,4.81,1488033.3,
2010-09,2.25,87.337,4.8,1495141.5,
2010-10,2.25,87.337,4.74,1498033.9,1.4
2010-11,2.5,86.906,4.65,1506545.1,
2010-12,2.5,87.251,4.67,1516914.0,
2011-01,2.75,88.288,4.8,1520642.1,1.0
2011-02,2.75,88.892,4.86,1521655.1,
2011-03,3.0,89.238,4.89,1530223.2,
2011-04,3.0,89.325,4.88,1539009.1,0.4
2011-05,3.0,89.497,4.9,1547725.2,
2011-06,3.25,89.67,4.87,1550022.4,
2011-07,3.25,90.102,4.9,1555990.0,0.5
2011-08,3.25,90.707,4.97,1571378.8,
2011-09,3.25,90.62,5.0,1579257.0,
2011-10,3.25,90.448,5.01,1597926.7,0.7
2011-11,3.25,90.534,5.01,1603013.1,
2011-12,3.25,90.879,4.95,1599168.0,
2012-01,3.25,91.242,5.06,1603967.0,1.0
2012-02,3.25,91.588,5.02,1612098.2,
2012-03,3.25,91.614,5.0,1618320.7,
2012-04,3.25,91.605,4.94,1629427.9,0.4
2012-05,3.25,91.769,4.85,1633889.0,
2012-06,3.25,91.639,4.76,1647303.9,
2012-07,3.0,91.432,4.64,1655328.1,0.4
2012-08,3.0,91.855,4.41,1665020.0,
2012-09,3.0,92.512,4.29,1665281.6,
2012-10,2.75,92.339,4.23,1676747.9,0.7
2012-11,2.75,92.011,4.19,1675811.9,
2012-12,2.75,92.175,4.16,1686156.0,
2013-01,2.75,92.728,4.17,1698131.6,0.8
2013-02,2.75,93.038,4.06,1711076.9,
2013-03,2.75,92.952,3.97,1718308.7,
