loaded_date,house_price_idx,kr_cpi,kr_unemployment,kr_base_rate,kr_mortgage_rate,kospi200,apt_trade_count,kr_m2,buyer_dominance
2005-01,57.611817967828,73.594,3.9,3.25,5.45,117.19666726248605,,902992.8,
2005-02,57.9157301732331,73.892,3.7,3.25,5.53,125.02941176470588,,910391.0,
2005-03,58.2508311172911,74.338,3.7,3.25,5.48,127.70999977805398,,922942.5,
2005-04,58.6970747412944,74.413,3.7,3.25,5.32,123.5,,930989.1,
2005-05,59.1426416644537,74.338,3.7,3.25,5.15,121.07333374023438,,933697.1,
2005-06,59.8523328278953,74.114,3.8,3.25,5.13,127.67238180977958,,939150.7,
2005-07,60.4766625034628,74.413,3.7,3.25,5.18,136.2423800513858,,948372.8,
2005-08,60.7585617702272,74.636,3.6,3.25,5.26,142.34681840376422,,960979.0,
2005-09,60.9126785554469,75.008,3.9,3.25,5.36,151.7104775565011,,957486.9,
2005-10,60.9279222273987,74.859,3.9,3.5,5.61,153.03600006103517,,957390.9,
2005-11,60.9658941930509,74.561,3.6,3.5,5.59,161.04318237304688,,955328.2,
2005-12,61.1032210859445,74.785,3.5,3.75,5.6,171.93476213727678,,960235.2,
2006-01,61.3609507304515,75.231,3.4,3.75,5.64,177.3028564453125,12300.0,957326.7,
2006-02,61.7161555342306,75.381,3.6,4.0,5.58,173.53999862670898,40606.0,961576.6,
2006-03,62.2222465237058,75.827,3.6,4.0,5.46,172.23136416348544,64920.0,965391.3,
2006-04,62.8545756678324,75.902,3.5,4.0,5.42,183.5360000610352,59826.0,971394.3,
2006-05,63.5996178047855,76.05,3.4,4.0,5.41,180.2504989624024,58509.0,977381.9,
2006-06,63.9557396336095,75.902,3.5,4.25,5.48,161.55428495861236,50312.0,987668.5,
2006-07,64.0989717785066,76.199,3.5,4.25,5.79,165.59499893188476,39439.0,991033.5,
2006-08,64.2466133473292,76.645,3.5,4.5,5.86,171.075908314098,40315.0,998024.7,
2006-09,64.5887117729489,76.868,3.5,4.5,5.77,176.06619117373512,70369.0,1011962.9,
2006-10,65.6001038982614,76.496,3.6,4.5,5.69,175.98947464792352,83520.0,1023316.4,
2006-11,68.0784522688486,76.125,3.5,4.5,5.69,181.7113647460937,117812.0,1030437.4,
2006-12,69.6079908796885,76.348,3.4,4.5,5.88,183.40105317768297,83355.0,1041540.1,
2007-01,70.5588204943714,76.496,3.4,4.5,6.11,178.4413639415394,47426.0,1049517.4,
2007-02,70.8943314435926,77.017,3.2,4.5,6.18,185.7031571237665,40276.0,1057158.9,
2007-03,71.0760254726462,77.464,3.2,4.5,6.2,185.0305000305176,45822.0,1059549.0,
2007-04,71.2327054077438,77.761,3.3,4.5,6.13,195.44190615699404,46857.0,1063156.2,
2007-05,71.2576746474318,77.836,3.3,4.5,6.17,207.0923803420294,43712.0,1064962.8,
2007-06,71.3662908984311,77.836,3.2,4.5,6.13,222.9619995117188,40258.0,1075534.2,
2007-07,71.5493401308973,78.134,3.3,4.75,6.24,242.59761846633185,44496.0,1077650.1,
2007-08,71.7381183245001,78.208,3.2,5.0,6.38,229.93727319890803,43867.0,1082976.6,
2007-09,71.9703488466069,78.655,3.2,5.0,6.52,238.150588091682,35645.0,1087170.4,
2007-10,72.2699274099863,78.803,3.2,5.0,6.55,253.6572723388672,51541.0,1088167.2,
2007-11,72.5633815880532,78.803,3.3,5.0,6.59,243.8609092018821,52409.0,1089973.1,
2007-12,72.768246420737,79.101,3.1,5.0,6.85,242.9388893975152,47483.0,1097590.8,
2008-01,73.0728271864638,79.472,3.0,5.0,7.08,219.54590953480115,47654.0,1105916.8,
2008-02,73.354392857865,79.771,3.0,5.0,6.72,214.8705554538303,46292.0,1117083.7,
2008-03,73.9935416288249,80.515,3.0,5.0,6.7,209.78618948800224,59226.0,1128670.7,
2008-04,75.0273571638962,80.962,3.1,5.0,6.8,228.1290472121466,72533.0,1143956.6,
2008-05,75.7032434505423,81.63,3.2,5.0,6.79,237.24947156404195,59673.0,1159581.9,
2008-06,76.4941484199262,82.151,3.1,5.0,6.77,224.4744995117188,59443.0,1175866.9,
2008-07,76.9987757653167,82.747,3.1,5.0,6.92,200.71956535007644,55770.0,1190474.9,
2008-08,77.2911224387859,82.598,3.3,5.25,7.16,197.0254997253418,42389.0,1198210.2,
2008-09,77.6247516206894,82.673,3.2,5.25,7.25,186.5142865862165,40327.0,1208134.1,
2008-10,77.5670676208615,82.598,3.3,4.25,7.58,156.81545465642756,42365.0,1237588.2,
2008-11,77.1222957762572,82.375,3.4,4.0,7.42,140.41799926757812,29897.0,1263562.7,
2008-12,76.411899020305,82.375,3.4,3.0,6.81,145.6709514799572,27357.0,1286922.8,
2009-01,75.8916374802479,82.45,3.3,2.5,5.63,150.9199981689453,25565.0,1292462.7,
2009-02,75.6581385503667,83.045,3.3,2.0,5.38,148.3820007324219,39209.0,1303385.4,
2009-03,75.4826955051464,83.64,3.5,2.0,5.43,148.89590870250356,50391.0,1315293.5,
2009-04,75.5208529368508,83.862,3.7,2.0,5.3,170.34476216634116,51822.0,1329910.7,
2009-05,75.6401519309423,83.862,3.9,2.0,5.25,179.33000098334418,50658.0,1336604.2,
2009-06,75.7878047540232,83.788,3.9,2.0,5.25,178.48545559969816,59208.0,1339126.0,
2009-07,76.0459684138041,84.086,3.8,2.0,5.29,189.25739122473675,60766.0,1350651.5,
2009-08,76.2877085707243,84.384,3.9,2.0,5.45,205.31714448474705,59510.0,1380776.9,
2009-09,76.8871085862371,84.459,3.6,2.0,5.77,217.4642857142857,65767.0,1384414.2,
2009-10,77.1868156647545,84.235,3.6,2.0,5.9,213.54666646321616,63164.0,1394094.4,
2009-11,77.4248898324304,84.384,3.7,2.0,5.87,208.2779983520508,53286.0,1400475.5,
2009-12,77.5490489222574,84.682,3.6,2.0,5.9,217.13190423874627,52912.0,1399323.9,
2010-01,77.6536733959751,85.351,4.7,2.0,5.88,220.8620002746582,41098.0,1406577.5,
2010-02,77.9291416141494,85.523,4.0,2.0,5.75,209.28722127278647,48137.0,1425069.1,
2010-03,78.1324492959942,85.696,3.6,2.0,5.47,217.9745469526811,56708.0,1435032.5,
2010-04,78.2732895207585,86.041,3.6,2.0,5.07,227.12318073619497,51360.0,1448987.9,
2010-05,78.2833029764104,86.128,3.3,2.0,4.78,215.2384217914782,40763.0,1456909.3,
2010-06,78.2320951606442,86.041,3.5,2.0,4.62,221.0919998168945,40787.0,1466581.2,
2010-07,78.0911956968046,86.214,3.8,2.25,4.7,225.80904642740884,38295.0,1482417.4,
2010-08,78.015119289429,86.647,3.5,2.25,4.81,229.4540911587802,35980.0,1488033.3,
2010-09,78.1001479818286,87.337,3.7,2.25,4.8,235.9838875664605,37978.0,1495141.5,
2010-10,78.2729018975821,87.337,3.7,2.25,4.74,244.865238734654,51404.0,1498033.9,
2010-11,78.6266749289091,86.906,3.3,2.5,4.65,250.50399932861328,63145.0,1506545.1,
2010-12,79.0198445449316,87.251,3.7,2.5,4.67,264.24727630615234,75255.0,1516914.0,
2011-01,79.4584486266992,88.288,3.6,2.75,4.8,276.03809611002606,53791.0,1520642.1,
